"ID","MonthlyIncome"
871,6167.88684682028
872,2715.19580290695
873,11519.3892931429
874,3177.48841669374
875,3666.68277290349
876,11835.3561662852
877,5281.63721425055
878,2657.04222003706
879,5348.28243059975
880,15339.2871922213
881,15468.658694439
882,4197.8739207918
883,4292.15083229184
884,4584.15691522248
885,7179.70886740069
886,2900.87196263696
887,5127.43899495471
888,4817.38443204811
889,5777.92748101378
890,3015.11764067792
891,6238.82402250411
892,5993.28396558766
893,6766.23979100381
894,4416.62120435828
895,14897.5785833712
896,6720.85471758913
897,7998.48674025015
898,10517.9035592091
899,7924.97450941365
900,3770.39586461244
901,3174.12205145319
902,6681.57829661342
903,10153.5428861309
904,3989.09404358279
905,14184.4756589562
906,4354.82811966344
907,12316.090075909
908,3490.09508253726
909,2677.1009603052
910,2287.9312683189
911,12794.0985778364
912,3647.17152065227
913,4269.83776638913
914,8168.05313605407
915,4342.99586943065
916,3741.80631004374
917,2865.32816285539
918,3918.2929243982
919,2527.27292462197
920,6450.71063046423
921,3925.98773883513
922,2270.73806237478
923,4471.65554260936
924,3391.90311525827
925,19161.0673140674
926,5507.94388414018
927,6233.61605063881
928,8537.35046989513
929,1696.38445673931
930,5478.83523236896
931,8120.0987960511
932,6722.64518795725
933,6230.75051631478
934,1431.70788226167
935,1679.19125079519
936,3486.50826268168
937,8521.21821332252
938,10536.4133138829
939,8170.80815637981
940,3127.41633917362
941,8136.94806927687
942,7467.47261787906
943,14015.8448713838
944,3507.73055830922
945,1883.43141985473
946,4308.46510124227
947,2707.17256131738
948,2424.04153225843
949,4023.89496286993
950,5671.67698480496
951,5643.74688415867
952,6415.1766483583
953,4152.25585086405
954,4260.19333027197
955,3691.70271378585
956,4008.51739010575
957,18877.5176781425
958,4561.72502930825
959,13027.9919470283
960,18899.9344518802
961,3421.14488387289
962,5019.37576251155
963,7765.39972895388
964,4427.52424697764
965,2682.83202895325
966,14188.2251369489
967,3200.41269128591
968,7330.56216351004
969,18189.2739610871
970,3854.98092370902
971,4514.76444673027
972,7008.56232434842
973,3892.06649102638
974,2287.9312683189
975,3809.02319946559
976,3122.32818918207
977,11674.5271578051
978,3671.5120530164
979,8474.44993084975
980,13323.1606611577
981,5115.97429769192
982,9811.50243039005
983,3050.25310052668
984,5024.45943334687
985,4478.23484616629
986,4155.12138518807
987,2089.39931636596
988,4845.07030901828
989,9834.84636244065
990,3728.2849963192
991,5188.10381163042
992,3786.22843421746
993,6561.74075206563
994,4447.55271689226
995,4739.93633157169
996,7948.36361702835
997,2825.65299485715
998,14819.9452512512
999,5804.62755720156
1000,1960.63698496488
1001,7179.11290317309
1002,4016.44822287988
1003,5924.06246124583
1004,10434.5527249048
1005,5391.40907270042
1006,6134.94754359824
1007,2925.03921958033
1008,4526.21434898109
1009,14074.092312207
1010,8918.41354576197
1011,8925.34938846351
1012,6580.31065003878
1013,9366.23002594907
1014,5630.10468863599
1015,5351.78335866896
1016,3977.83168345849
1017,6854.4524965692
1018,5647.80030770726
1019,8134.58421902021
1020,1905.47675745321
1021,6399.27033965154
1022,4988.13997775453
1023,3340.85140442182
1024,13280.1947819184
1025,11683.2622284337
1026,11679.7976903394
1027,5169.76734190163
1028,4219.79739883604
1029,2086.00903946723
1030,9246.84449370331
1031,3928.85327315915
1032,4771.61077865719
1033,4701.57539150849
1034,2146.26769030833
1035,5736.28856722665
1036,2447.77216474617
1037,4562.13442916544
1038,8665.25762715125
1039,4608.15018619135
1040,5057.84881728969
1041,4127.12635523346
1042,3556.89795034859
1043,7071.76718765899
1044,10162.4818396107
1045,3650.29592485493
1046,1394.87998230148
1047,3404.67402357706
1048,6186.55897128452
1049,6003.76415829703
1050,5265.3509564254
1051,14661.0550657077
1052,4191.78497425232
1053,4655.15781157885
1054,3517.93096117977
1055,4090.0407879161
1056,3519.81238303123
1057,3810.83883264554
1058,10681.5323133416
1059,9637.12265744667
1060,3660.04991572032
1061,6585.27492653419
1062,5493.1673831453
1063,7676.08867615987
1064,3283.5853433813
1065,7391.88764284199
1066,3941.10606203154
1067,10850.3254802287
1068,15688.0579029172
1069,4148.60135327357
1070,3446.73818613774
1071,2986.71658206088
1072,6682.26078101286
1073,3818.09050559776
1074,5499.34728116812
1075,4904.32440700265
1076,13343.1468367172
1077,13403.5347180799
1078,4796.85309955646
1079,6343.95799995071
1080,10333.052081817
1081,5887.09160826054
1082,3575.07695707511
1083,2394.20594958346
1084,7744.84274786203
1085,5605.36478086387
1086,9483.51128573222
1087,4864.40670363813
1088,3135.04830459489
1089,4265.92439892001
1090,5650.39713597095
1091,4668.87427450949
1092,9195.10474680272
1093,5379.80330816398
1094,3839.84847640395
1095,4328.52384151042
1096,4060.360356973
1097,9275.23518861988
1098,2286.544652515
1099,4629.22195805269
1100,5081.16436805017
1101,10764.1227759474
1102,4661.49188357744
1103,8999.19030676907
1104,18984.4522930035
1105,4675.05017295208
1106,5463.5234482763
1107,6223.51223841144
1108,4714.70900643796
1109,5402.08466409966
1110,5406.91394421257
1111,8022.29120841457
1112,8460.27336353657
1113,8408.04287059747
1114,10424.609503603
1115,13513.4449015892
1116,6373.85474333151
1117,10992.4495943531
1118,6262.90568498961
1119,13399.071272501
1120,5767.34596902123
1121,11840.1076016169
1122,15112.4842766706
1123,6296.8497843398
1124,10258.8715810524
1125,3040.47636421908
1126,2621.6488441348
1127,4317.06170421434
1128,3773.84869596775
1129,10447.0618141648
1130,2679.16013673366
1131,3864.41183823487
1132,11241.6544886295
1133,5395.11509225665
1134,3263.09445781375
1135,4082.24162694695
1136,3578.88804601098
1137,8302.97334288319
1138,7065.05200653839
1139,10037.1096790092
1140,7191.15388889012
1141,6530.02374753919
1142,7544.57469582017
1143,12465.7030503082
1144,3680.3675258671
1145,5920.78994443424
1146,4260.64822101358
1147,3501.35951066053
1148,1768.97246891879
1149,2302.43669451601
1150,6691.75054497415
1151,3423.83266361991
